city,agency,stop_id,stop_name,trip_count,route_count
Bengaluru (Bangalore),BMTC,29545,Anugondanahalli,5,2
Bengaluru (Bangalore),BMTC,35458,Anugondanahalli,6,2
Bengaluru (Bangalore),BMTC,21650,Anugondanahalli Cross,66,24
Bengaluru (Bangalore),BMTC,21651,Anugondanahalli Cross,71,24
Bengaluru (Bangalore),BMTC,38116,Anugraha Badavane (Bilekahalli),22,4
Bengaluru (Bangalore),BMTC,40007,Anugraha Green Villa,2,1
Bengaluru (Bangalore),BMTC,24988,Anupahalli,1,1
Bengaluru (Bangalore),BMTC,32486,Anupahalli,2,1
Bengaluru (Bangalore),BMTC,39921,Anupama Hospital,21,2
Bengaluru (Bangalore),BMTC,39922,Anupama Hospital,21,2
Bengaluru (Bangalore),BMTC,40681,Anupama School,62,4
Bengaluru (Bangalore),BMTC,40682,Anupama School,62,4
Bengaluru (Bangalore),BMTC,29548,Aparel Park,255,24
Bengaluru (Bangalore),BMTC,35455,Aparel Park,262,21
Bengaluru (Bangalore),BMTC,20607,Apex Bank,133,17
Bengaluru (Bangalore),BMTC,20608,Apex Bank,135,15
