city,agency,route_id,route_short_name,route_full_name,origin_stop,destination_stop,direction_id,trip_count,stop_count,first_departure,last_departure
Bengaluru (Bangalore),BMTC,2715,242-N,Giddenahalli → KR Market (Kalasipalya) - Platform 6B,Giddenahalli,KR Market (Kalasipalya) - Platform 6B,1,2,35,09:15:00,18:55:00
Bengaluru (Bangalore),BMTC,2716,300-HA,KR Pura Bus Stand 1 → KR Market,KR Pura Bus Stand 1,KR Market,1,6,31,08:05:00,14:45:00
Bengaluru (Bangalore),BMTC,2716,300-HA,KR Market → KR Pura Market,KR Market,KR Pura Market,0,7,34,07:40:00,16:05:00
Bengaluru (Bangalore),BMTC,2717,503-A,Vidyaranyapura Bus Station → Central Silk Board,Vidyaranyapura Bus Station,Central Silk Board,0,2,52,08:05:00,13:50:00
Bengaluru (Bangalore),BMTC,2717,503-A,Central Silk Board → Vidyaranyapura,Central Silk Board,Vidyaranyapura,1,2,52,10:40:00,17:25:00
Bengaluru (Bangalore),BMTC,2718,242-P,KR Market (Kalasipalya) - Platform 6B → Huluvenahalli,KR Market (Kalasipalya) - Platform 6B,Huluvenahalli,0,1,52,05:35:00,05:35:00
Bengaluru (Bangalore),BMTC,2718,242-P,Huluvenahalli → KR Market (Kalasipalya) - Platform 6B,Huluvenahalli,KR Market (Kalasipalya) - Platform 6B,1,2,50,04:20:00,07:25:00
Bengaluru (Bangalore),BMTC,2719,360-E,KR Market (Kalasipalya) - Platform 3B → Bidaraguppe,KR Market (Kalasipalya) - Platform 3B,Bidaraguppe,0,1,48,06:20:00,06:20:00
Bengaluru (Bangalore),BMTC,2719,360-E,Bidaraguppe → KR Market (Kalasipalya) - Platform 3B,Bidaraguppe,KR Market (Kalasipalya) - Platform 3B,1,1,45,08:05:00,08:05:00
Bengaluru (Bangalore),BMTC,2720,BELGS-30,CS-Depot-10 Gate → CS-BEL Factory,CS-Depot-10 Gate,CS-BEL Factory,0,1,2,06:55:00,06:55:00
Bengaluru (Bangalore),BMTC,2720,BELGS-30,CS-BEL Factory → CS-Depot-10 Gate,CS-BEL Factory,CS-Depot-10 Gate,1,1,2,17:10:00,17:10:00
Bengaluru (Bangalore),BMTC,2721,242-P KBS-HVLH,Kempegowda Bus Station → Huluvenahalli,Kempegowda Bus Station,Huluvenahalli,0,1,45,19:50:00,19:50:00
Bengaluru (Bangalore),BMTC,2724,242-Q,KR Market (Kalasipalya) - Platform 6B → Gangenahalli,KR Market (Kalasipalya) - Platform 6B,Gangenahalli,0,3,45,06:45:00,14:50:00
Bengaluru (Bangalore),BMTC,2724,242-Q,Gangenahalli → KR Market (Kalasipalya) - Platform 6B,Gangenahalli,KR Market (Kalasipalya) - Platform 6B,1,2,43,05:30:00,08:10:00
Bengaluru (Bangalore),BMTC,2725,300-MV,Sir M Visvesvaraya Terminal → Kempegowda Bus Station,Sir M Visvesvaraya Terminal,Kempegowda Bus Station,1,113,14,03:30:00,23:05:00
Bengaluru (Bangalore),BMTC,2725,300-MV,Kempegowda Bus Station → Sir M Visvesvaraya Terminal,Kempegowda Bus Station,Sir M Visvesvaraya Terminal,0,114,17,04:15:00,23:45:00
Bengaluru (Bangalore),BMTC,2729,HSS-03,CS-People Tree Hospital Nagendra Block → CS-Head Start School Kommasandra,CS-People Tree Hospital Nagendra Block,CS-Head Start School Kommasandra,0,1,2,06:05:00,06:05:00
Bengaluru (Bangalore),BMTC,2729,HSS-03,CS-Head Start School Kommasandra → CS-People Tree Hospital Nagendra Block,CS-Head Start School Kommasandra,CS-People Tree Hospital Nagendra Block,1,1,2,14:30:00,14:30:00
Bengaluru (Bangalore),BMTC,2731,360-H,Kodalipura → KR Market (Kalasipalya),Kodalipura,KR Market (Kalasipalya),1,2,47,04:50:00,17:50:00
Bengaluru (Bangalore),BMTC,2731,360-H,KR Market (Kalasipalya) → Kodalipura,KR Market (Kalasipalya),Kodalipura,0,3,50,06:25:00,20:45:00
Bengaluru (Bangalore),BMTC,2732,242-Q KBS-GGH,Kempegowda Bus Station - Platform 4 → Gangenahalli,Kempegowda Bus Station - Platform 4,Gangenahalli,0,1,39,20:35:00,20:35:00
Bengaluru (Bangalore),BMTC,2732,242-Q KBS-GGH,Gangenahalli → Kempegowda Bus Station - Platform 4,Gangenahalli,Kempegowda Bus Station - Platform 4,1,1,40,18:50:00,18:50:00
Bengaluru (Bangalore),BMTC,2734,242-R,KR Market (Kalasipalya) - Platform 6B → Jogerahalli,KR Market (Kalasipalya) - Platform 6B,Jogerahalli,0,3,48,06:25:00,17:35:00
Bengaluru (Bangalore),BMTC,2734,242-R,Jogerahalli → KR Market (Kalasipalya) - Platform 6B,Jogerahalli,KR Market (Kalasipalya) - Platform 6B,1,3,45,05:05:00,16:00:00
Bengaluru (Bangalore),BMTC,2736,242-RA,KR Market (Kalasipalya) → Channa Marayyanapalya,KR Market (Kalasipalya),Channa Marayyanapalya,0,2,47,10:05:00,16:55:00
Bengaluru (Bangalore),BMTC,2736,242-RA,Channa Marayyanapalya → KR Market (Kalasipalya),Channa Marayyanapalya,KR Market (Kalasipalya),1,1,45,12:05:00,12:05:00
Bengaluru (Bangalore),BMTC,2738,500-CH,Tin Factory → Sarjapura,Tin Factory,Sarjapura,1,40,37,06:25:00,21:00:00
Bengaluru (Bangalore),BMTC,2738,500-CH,Sarjapura → Tin Factory,Sarjapura,Tin Factory,0,45,37,05:00:00,19:15:00
Bengaluru (Bangalore),BMTC,2740,45-D PPLO-GTLO,Poornaprajna Layout → Gaviyappa Thimayya Layout,Poornaprajna Layout,Gaviyappa Thimayya Layout,0,1,2,15:11:00,15:11:00
Bengaluru (Bangalore),BMTC,2740,45-D PPLO-GTLO,Gaviyappa Thimayya Layout → Poornaprajna Layout,Gaviyappa Thimayya Layout,Poornaprajna Layout,1,1,2,13:10:00,13:10:00
Bengaluru (Bangalore),BMTC,2741,323-F,Nerige → Kempegowda Bus Station,Nerige,Kempegowda Bus Station,1,4,37,04:30:00,17:30:00
Bengaluru (Bangalore),BMTC,2741,323-F,Kempegowda Bus Station → Nerige,Kempegowda Bus Station,Nerige,0,3,40,05:55:00,19:50:00
Bengaluru (Bangalore),BMTC,2743,45-DG,Kempegowda Bus Station → Gaviyappa Thimayya Layout,Kempegowda Bus Station,Gaviyappa Thimayya Layout,0,5,26,06:30:00,19:10:00
Bengaluru (Bangalore),BMTC,2743,45-DG,Gaviyappa Thimayya Layout → Kempegowda Bus Station,Gaviyappa Thimayya Layout,Kempegowda Bus Station,1,5,22,07:50:00,21:00:00
Bengaluru (Bangalore),BMTC,2746,500-A D24G-BSK,Depot-24 Gate → Banashankari Bus Station,Depot-24 Gate,Banashankari Bus Station,0,3,37,06:56:00,14:16:00
Bengaluru (Bangalore),BMTC,2746,500-A D24G-BSK,Banashankari Bus Station → Depot-24 Gate,Banashankari Bus Station,Depot-24 Gate,1,3,37,12:30:00,22:37:00
Bengaluru (Bangalore),BMTC,2748,360-J,Kempegowda Bus Station → Handenahalli Attibele,Kempegowda Bus Station,Handenahalli Attibele,0,2,54,07:10:00,15:35:00
Bengaluru (Bangalore),BMTC,2748,360-J,Handenahalli Attibele → Kempegowda Bus Station,Handenahalli Attibele,Kempegowda Bus Station,1,2,50,04:00:00,05:15:00
